delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,expected_date,actual_date,is_delayed,delivery_status,delivery_rating,delivery_cost
1,delhivery,automobile parts,bike,same day,west,clear,297,46.96,25-01-2024,26-01-2024,yes,delivered,3,1632.7206
2,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,02-01-2024,02-01-2024,no,delivered,5,640.17
3,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,09-01-2024,11-01-2024,yes,delivered,4,1448.17
4,dhl,electronics,ev van,same day,east,cold,269.7,12.69,21-01-2024,22-01-2024,yes,delivered,3,1486.57
5,dhl,clothing,van,two day,north,foggy,256.7,37.02,08-01-2024,10-01-2024,yes,delivered,4,1394.56
6,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,02-01-2024,03-01-2024,yes,delayed,3,391.45
7,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,07-01-2024,10-01-2024,yes,delivered,3,1222.87
8,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,23-01-2024,24-01-2024,yes,delivered,3,800.89
9,blue dart,clothing,van,same day,south,hot,142.4,14.06,16-01-2024,18-01-2024,yes,delivered,5,854.18
10,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,14-01-2024,17-01-2024,yes,delivered,5,423.34
11,fedex,groceries,scooter,same day,east,cold,293.2,22.05,24-01-2024,27-01-2024,yes,delivered,4,1632.15
12,ecom express,electronics,truck,two day,east,cold,80.4,46.48,07-01-2024,08-01-2024,yes,delivered,5,541.44
13,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,06-01-2024,06-01-2024,no,delivered,4,1350.18
14,xpressbees,cosmetics,bike,express,east,stormy,19,3.36,22-01-2024,24-01-2024,yes,failed,1,155.08
15,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,11-01-2024,13-01-2024,yes,delivered,3,1263.27
16,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,13-01-2024,16-01-2024,yes,delayed,3,1281.51
17,fedex,documents,bike,standard,west,stormy,79,0.73,07-01-2024,09-01-2024,yes,delivered,5,397.19
18,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,24-01-2024,24-01-2024,no,delivered,5,990.36
